square,white,black,total
23,4346,1171,5517
5,9144,371,9515
6,24582,296,24878
39,2334,3186,5520
35,377,460,837
3,4399,459,4858
15,5438,562,6000
1,3925,430,4355
14,1506,49,1555
38,912,909,1821
7,16426,572,16998
56,663,2983,3646
4,8576,467,9043
31,3200,2407,5607
28,620,526,1146
8,1236,676,1912
2,5376,463,5839
26,427,432,859
11,1018,129,1147
55,581,5388,5969
0,2647,803,3450
60,469,14247,14716
16,1623,992,2615
29,923,786,1709
61,399,10474,10873
50,94,761,855
59,402,5337,5739
12,1465,199,1664
40,919,1918,2837
47,1249,4338,5587
32,1312,1770,3082
25,313,359,672
24,1524,1480,3004
33,277,392,669
42,127,935,1062
13,1104,103,1207
21,1302,321,1623
22,1274,262,1536
9,391,73,464
20,1177,211,1388
17,584,103,687
45,313,1564,1877
63,683,16549,17232
62,385,26280,26665
44,203,1222,1425
27,443,401,844
30,993,850,1843
19,1049,194,1243
46,226,1302,1528
58,416,6222,6638
57,391,4304,4695
10,592,103,695
37,641,944,1585
18,665,176,841
48,633,1356,1989
34,328,531,859
51,99,1424,1523
36,460,679,1139
52,173,2471,2644
54,60,2001,2061
41,79,706,785
43,173,1252,1425
53,97,1547,1644
49,55,448,503
